Product Number,Current In-Stock,Product Name,Flight Numbers
1810.0,0,GStar Gorgon,10 | 6 | -3 | 1
1811.0,0,GStar Hawkeye,7 | 5 | -1 | 1
1812.0,0,GStar IT,7 | 5 | -1 | 1
1813.0,out,GStar Invictus,10 | 5 | -1 | 2
1814.0,0,GStar Leopard,6 | 5 | -2 | 1
1815.0,0,GStar Leopard3,7 | 5 | -2 | 1
1816.0,0,GStar Mamba,11 | 6 | -5 | 1
1817.0,0,GStar Racer,12 | 6 | -1 | 2
1818.0,0,GStar Roadrunner,9 | 5 | -4 | 1
1819.0,0,GStar Shryke ,13 | 6 | -2 | 2
1820.0,0,GStar Sidewinder,9 | 5 | -3 | 1
1821.0,0,GStar TeeBird,7 | 5 | 0 | 2
1822.0,0,GStar TeeBird3,8 | 4 | 0 | 2
1823.0,0,GStar Tern,12 | 6 | -3 | 2
1824.0,0,GStar Thunderbird,9 | 5 | 0 | 2
1825.0,0,GStar TL3,8 | 4 | -1 | 1
1826.0,0,GStar Valkyrie,9 | 4 | -2 | 2
1827.0,0,GStar Wraith,11 | 5 | -1 | 3
1902.0,0,BLZ Ch Beast,10 | 5 | -2 | 2
1903.0,0,BLZ Ch Boss,13 | 5 | -1 | 3
1904.0,0,BLZ Ch Destroyer,12 | 5 | -1 | 3
1905.0,0,BLZ Ch Katana,13 | 5 | -3 | 3
1906.0,0,BLZ Ch Wraith,11 | 5 | -1 | 3
802.0,0,Ch Atlas,5 | 4 | 0 | 1
803.0,0,Ch Jay,5 | 4 | 0 | 1
804.0,out,Ch Lion,5 | 4 | 0 | 2
805.0,0,Ch Mako3  ,5 | 5 | 0 | 0
806.0,0,Ch Roc3,5 | 4 | 0 | 3
807.0,0,Ch RocX3  ,5 | 4 | 0 | 3.5
808.0,0,Ch Rollo,5 | 6 | -4 | 1
809.0,0,Ch Wombat3,5 | 6 | -1 | 0
2002.0,0,Ch Ape ,13 | 5 | 0 | 4
2003.0,0,Ch Beast ,10 | 5 | -2 | 2
2004.0,0,Ch Boss,13 | 5 | 0 | 3
2005.0,0,Ch Caiman,5.5 | 2 | 0 | 4
2006.0,out,Ch Colossus,14 | 5 | -1 | 3
2007.0,0,Ch Corvette,14 | 6 | -1 | 2
2008.0,0,Ch Daedalus,13 | 6 | -3 | 2
2009.0,0,Ch Dart,3 | 4 | 0 | 0
2010.0,0,Ch Destroyer,12 | 5 | -1 | 3
2011.0,0,Ch Eagle,7 | 4 | -1 | 3
2012.0,0,Ch Firebird  ,9 | 3 | 0 | 4
2013.0,0,Ch Firestorm  ,14 | 4 | -1 | 3
2014.0,0,Ch Hawkeye ,7 | 5 | -1 | 1
2015.0,0,Ch IT,7 | 6 | -2 | 1
2016.0,out,Ch Katana,13 | 5 | -2 | 3
2017.0,0,Ch Leopard  ,6 | 5 | -2 | 1
2018.0,0,Ch Leopard3 ,7 | 5 | -2 | 1
2019.0,0,Ch Mamba,11 | 6 | -5 | 1
2020.0,out,Ch Monarch,10 | 5 | -4 | 1
2021.0,0,Ch Mystere,11 | 6 | -2 | 2
2022.0,0,Ch Orc,10 | 4 | -1 | 3
2023.0,0,Ch Panther,5 | 4 | -2 | 1
2024.0,0,Ch Rhyno,2 | 1 | 0 | 3
2025.0,0,Ch Roadrunner,9 | 5 | -4 | 1
2026.0,0,Ch Savant,9 | 5 | -1 | 2
2027.0,0,Ch Shryke ,13 | 6 | -1 | 2
2028.0,0,Ch Shryke - 139g,13 | 6 | -1 | 2
2029.0,0,Ch Sidewinder ,9 | 5 | -3 | 1
2030.0,0,Ch TeeBird ,7 | 5 | 0 | 2
2031.0,0,Ch TeeBird3  ,8 | 4 | 0 | 2
2032.0,0,Ch Tern,12 | 6 | -2 | 2
